casesDif,vacDif,FIPS,location,POPESTIMATE2019,Median_Household_Income_2019
74.0,0.18799999999999994,13065,Georgia-Clinch,6637,"42,928"
10776.0,0.376,13067,Georgia-Cobb,761060,"79,622"
191.0,0.15899999999999997,13069,Georgia-Coffee,43278,"41,675"
442.0,0.19099999999999995,13071,Georgia-Colquitt,45569,"41,899"
1415.0,0.252,13073,Georgia-Columbia,157129,"88,285"
177.0,0.18999999999999997,13075,Georgia-Cook,17241,"40,670"
1460.0,0.27799999999999997,13077,Georgia-Coweta,148504,"79,232"
49.0,0.20400000000000001,13079,Georgia-Crawford,12345,"50,411"
203.0,0.21200000000000002,13081,Georgia-Crisp,22382,"40,482"
193.0,0.163,13083,Georgia-Dade,16103,"45,986"
314.0,0.23099999999999998,13085,Georgia-Dawson,26091,"69,155"
247.0,0.24000000000000002,13087,Georgia-Decatur,26496,"40,473"
59.0,0.163,13091,Georgia-Dodge,20672,"41,118"
102.0,0.17400000000000002,13093,Georgia-Dooly,13400,"37,109"
650.0,0.21499999999999997,13095,Georgia-Dougherty,87854,"36,894"
2186.0,0.28,13097,Georgia-Douglas,146680,"62,915"
73.0,0.19400000000000003,13099,Georgia-Early,10176,"40,011"
25.0,,13101,Georgia-Echols,3963,"40,408"
503.0,0.21200000000000002,13103,Georgia-Effingham,64342,"71,628"
95.0,0.22000000000000003,13105,Georgia-Elbert,19205,"40,962"
166.0,0.17900000000000002,13107,Georgia-Emanuel,22600,"38,529"
82.0,0.208,13109,Georgia-Evans,10661,"41,425"
286.0,0.22099999999999997,13111,Georgia-Fannin,26068,"47,980"
1062.0,0.40900000000000003,13113,Georgia-Fayette,114645,"94,563"
1095.0,0.20900000000000002,13115,Georgia-Floyd,98325,"50,520"
3300.0,0.37299999999999994,13117,Georgia-Forsyth,244624,"113,332"
156.0,0.199,13119,Georgia-Franklin,23322,"47,691"
13608.0,0.381,13121,Georgia-Fulton,1065019,"79,235"
300.0,0.22100000000000003,13123,Georgia-Gilmer,31575,"57,007"
12.0,,13125,Georgia-Glascock,2959,"49,350"
747.0,0.257,13127,Georgia-Glynn,85326,"58,017"
742.0,0.21200000000000002,13129,Georgia-Gordon,58046,"53,373"
266.0,0.19499999999999998,13131,Georgia-Grady,24588,"42,603"
132.0,0.321,13133,Georgia-Greene,18356,"60,973"
10966.0,0.375,13135,Georgia-Gwinnett,937399,"72,225"
150.0,0.22299999999999998,13137,Georgia-Habersham,45542,"51,296"
2280.0,0.25899999999999995,13139,Georgia-Hall,204310,"66,698"
51.0,0.29000000000000004,13141,Georgia-Hancock,8475,"31,715"
249.0,0.16599999999999998,13143,Georgia-Haralson,29884,"49,020"
316.0,0.25299999999999995,13145,Georgia-Harris,35188,"74,052"
161.0,0.21299999999999997,13147,Georgia-Hart,26255,"50,647"
89.0,0.15799999999999997,13149,Georgia-Heard,11825,"48,984"
4146.0,0.28,13151,Georgia-Henry,234671,"72,927"
1545.0,0.25399999999999995,13153,Georgia-Houston,157427,"65,641"
119.0,0.163,13155,Georgia-Irwin,9442,"42,317"
939.0,0.25399999999999995,13157,Georgia-Jackson,73015,"66,645"
116.0,0.20900000000000002,13159,Georgia-Jasper,14207,"59,207"
112.0,0.279,13163,Georgia-Jefferson,15344,"35,379"
60.0,0.168,13165,Georgia-Jenkins,8734,"32,808"
41.0,0.15999999999999998,13167,Georgia-Johnson,9724,"37,771"
172.0,0.23399999999999999,13169,Georgia-Jones,28689,"56,819"
187.0,0.183,13171,Georgia-Lamar,19001,"57,402"
54.0,0.13999999999999999,13173,Georgia-Lanier,10581,"42,667"
292.0,0.184,13175,Georgia-Laurens,47567,"42,018"
184.0,0.24,13177,Georgia-Lee,30045,"72,425"
1046.0,0.16199999999999998,13179,Georgia-Liberty,62813,"51,410"
90.0,0.23600000000000004,13181,Georgia-Lincoln,7969,"45,299"
77.0,0.10700000000000001,13183,Georgia-Long,19647,"52,051"
1300.0,0.181,13185,Georgia-Lowndes,117600,"46,450"
260.0,0.202,13187,Georgia-Lumpkin,33692,"57,078"
257.0,0.236,13189,Georgia-McDuffie,21317,"44,473"
135.0,0.22299999999999998,13191,Georgia-McIntosh,14294,"46,682"
102.0,0.22699999999999998,13193,Georgia-Macon,12934,"34,634"
219.0,0.26799999999999996,13195,Georgia-Madison,29925,"52,326"
39.0,0.21200000000000002,13197,Georgia-Marion,8413,"41,190"
214.0,0.237,13199,Georgia-Meriwether,21112,"43,571"
83.0,0.199,13201,Georgia-Miller,5667,"41,769"
142.0,0.21300000000000002,13205,Georgia-Mitchell,21846,"37,383"
325.0,0.24899999999999997,13207,Georgia-Monroe,27677,"70,488"
46.0,0.16300000000000003,13209,Georgia-Montgomery,9148,"43,657"
308.0,0.286,13211,Georgia-Morgan,19239,"67,089"
515.0,0.18200000000000002,13213,Georgia-Murray,39996,"50,061"
2463.0,0.256,13215,Georgia-Muscogee,196074,"47,035"
1877.0,0.256,13217,Georgia-Newton,111894,"58,222"
433.0,0.358,13219,Georgia-Oconee,40296,"100,878"
126.0,0.268,13221,Georgia-Oglethorpe,15222,"54,346"
2684.0,0.22099999999999997,13223,Georgia-Paulding,169302,"76,580"
272.0,0.26699999999999996,13225,Georgia-Peach,27697,"49,815"
420.0,0.236,13227,Georgia-Pickens,32648,"66,183"
207.0,0.177,13229,Georgia-Pierce,19443,"46,701"
330.0,0.182,13231,Georgia-Pike,18953,"74,905"
